"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (in %),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0,0,0.539052751,0.117699589,0.960953093,0.84590178,0.827072625,0.448611757,0.370158257,0.765198804,0.19029432,0.449197637,0.062082427,0.139287883,0.075309779,0.355759866,0.329340307,0.120255341,0.350184494,0.895403579,0.038819236,0,0,1,0,0.484581498,0.897959184,0.826530612,0.560344828,0.957894737,0.947916667,0.5,0,0.333333333,0.446808511,0
0,0,0.511459092,0.121112017,0.875160631,0.816127287,0.807068364,0.489849779,1,1,0.198513249,0.433802789,0.051534498,0.127985781,0.073061678,0.417272827,0.341959103,0.121729217,0.351291504,0.792540487,0.038819236,0,0,1,0,0.466960352,0.897959184,0.826530612,0.568965517,0.957894737,0.947916667,0.5,0,0.333333333,0.446808511,0
0,0,0.582048015,0.125756764,0.833686639,0.807946968,0.79899332,0.503574375,0.651448381,0.714454669,0.208123094,0.425076794,0.047253326,0.126476535,0.071876997,0.4882684,0.366035695,0.12110894,0.360147611,0.818552647,0.038819236,0,0,1,0,0.45814978,0.897959184,0.826530612,0.577586207,0.957894737,0.947916667,0.5,0,0.333333333,0.446808511,0
0,0,0.537991442,0.132076079,0.845577108,0.874260066,0.858554597,0.516656634,0.142409738,0.635539296,0.216826347,0.491682093,0.0405141,0.167012845,0.072460925,0.542285308,0.356351775,0.129894196,0.331365324,0.855418714,0.038819236,0,0,1,0,0.528634361,0.897959184,0.826530612,0.586206897,0.957894737,0.947916667,0.583333333,0,0.333333333,0.446808511,0
0,0,0.512326669,0.122602219,0.845804919,0.930042508,0.90738738,0.498885316,0.749110429,0.467237223,0.226194429,0.45267287,0.047229966,0.109463563,0.07737509,0.577188902,0.363636875,0.137381392,0.297047961,0.841342548,0.039555006,0.000359842,0,1,0,0.484581498,0.897959184,0.826530612,0.594827586,0.957894737,0.947916667,0.583333333,0,0.333333333,0.446808511,0
0,0,0.571124534,0.126981999,0.791534593,0.871688384,0.858970543,0.544769574,0.473611009,0.286237079,0.230115218,0.266693138,0.050742079,0.115333142,0.078281805,0.620332652,0.436750353,0.116649651,0.309225098,0.909805762,0.040658661,0.0013516,0,1,0,0.286343612,0.897959184,0.826530612,0.594827586,0.957894737,0.947916667,0.583333333,0,0.333333333,0.446808511,0
0,0,0.620626161,0.149023057,0.784434147,0.81996976,0.809792011,0.568364745,0.69242242,0.588778885,0.223120911,0.068667507,0.031364074,0.123250474,0.074223929,0.653790426,0.576530774,0.102867996,0.630258289,1,0.038819236,0.000509044,0,1,0,0.074889868,0.897959184,0.826530612,0.594827586,0.957894737,0.947916667,0.583333333,0,0.333333333,0.446808511,0
0,0,0.622907933,0.141030039,0.907286476,1,1,0.658655885,0.89140969,0.588778885,0.235951682,0.59945843,0.041065393,0.123250474,0.074223929,0.66402831,0.564382274,0.113151273,0.630258289,1,0.038819236,0.00010532,0,1,0,0.643171806,0.897959184,0.826530612,0.594827586,0.957894737,0.947916667,0.583333333,0,0.333333333,0.446808511,0
0,0,0.704014636,0.006587139,0.038007931,0.000722162,0,0.320111934,0.324793881,0.028620909,0.038937287,0.748821898,0.146939369,0.261663723,0.12318949,0.791412881,0.361258183,0.003032103,0.484132863,0.081262908,0.125403842,0.089066022,0,0,1,0.687845069,0.93877551,0.928571429,0.060344828,0.957894737,1,0.333333333,0.666666667,0,0.095744681,0
0,0,0.703542384,0.004116796,0.045347078,0.001237384,0.000300514,0.321126501,0.324621701,0.02342945,0.039555604,0.769074457,0.128986652,0.219090081,0.198958136,0.790841226,0.383236996,0.003006721,0.490774923,0.089648887,0.125286033,0.088986646,0,0,1,0.691097334,0.93877551,0.928571429,0.068965517,0.957894737,1,0.333333333,0.666666667,0,0.095744681,0
